user,session_times
883,"2022-07-21 02:37:56 (item: 8892)
2022-07-21 02:38:33 (item: 18431)
2022-07-21 02:39:15 (item: 19280)
2022-07-21 02:39:23 (item: 10308)
2022-07-21 02:42:11 (item: 5593)"
914,"2022-09-05 15:21:01 (item: 10593)
2022-09-05 15:23:40 (item: 17009)"
930,"2022-08-17 02:13:46 (item: 9346)
2022-08-17 02:19:02 (item: 15816)"
943,"2022-09-08 13:59:20 (item: 2698)
2022-09-08 14:01:28 (item: 8218)"
944,"2022-08-26 03:52:21 (item: 13039)
2022-08-26 03:56:41 (item: 19387)"
945,"2022-07-01 09:08:29 (item: 18126)
2022-07-01 09:09:55 (item: 12408)"
948,"2022-07-04 10:15:22 (item: 489)
2022-07-04 10:24:21 (item: 2656)"
954,"2022-08-27 12:04:50 (item: 13790)
2022-08-27 12:10:42 (item: 2997)"
963,"2022-08-21 00:51:22 (item: 12072)
2022-08-21 00:52:02 (item: 14669)"
967,"2022-07-19 21:55:16 (item: 4763)
2022-07-19 21:55:48 (item: 4780)

2022-08-09 20:57:50 (item: 4397)
2022-08-09 21:06:52 (item: 3022)"
998,"2022-08-03 05:33:18 (item: 1422)
2022-08-03 05:35:43 (item: 4990)"
1031,"2022-08-11 03:12:25 (item: 9810)
2022-08-11 03:14:57 (item: 10355)"
1034,"2022-07-27 00:16:59 (item: 14580)
2022-07-27 00:26:06 (item: 8259)"
1036,"2022-06-29 16:23:17 (item: 15293)
2022-06-29 16:24:30 (item: 12085)"
1047,"2022-07-06 04:37:52 (item: 19562)
2022-07-06 04:44:21 (item: 7877)

2022-08-24 23:22:16 (item: 1639)
2022-08-24 23:22:25 (item: 13605)"
1048,"2022-08-12 23:24:23 (item: 5092)
2022-08-12 23:30:08 (item: 7831)"
1054,"2022-09-09 10:41:41 (item: 18780)
2022-09-09 10:51:22 (item: 18337)"
1057,"2022-07-07 12:29:27 (item: 16646)
2022-07-07 12:31:51 (item: 2598)"
1067,"2022-07-31 02:13:19 (item: 4476)
2022-07-31 02:15:49 (item: 10084)"
1098,"2022-07-13 13:45:53 (item: 5525)
2022-07-13 13:52:15 (item: 1721)"
1099,"2022-08-19 06:56:27 (item: 8360)
2022-08-19 07:04:19 (item: 11384)"
1100,"2022-08-10 00:27:50 (item: 17318)
2022-08-10 00:28:24 (item: 17959)"
1113,"2022-07-26 09:33:28 (item: 19733)
2022-07-26 09:36:02 (item: 10143)"
1118,"2022-07-23 13:52:33 (item: 4334)
2022-07-23 14:02:14 (item: 6741)"
1133,"2022-08-19 04:28:51 (item: 17855)
2022-08-19 04:36:26 (item: 17037)"
1136,"2022-06-29 14:13:31 (item: 19473)
2022-06-29 14:17:05 (item: 7156)"
1143,"2022-08-20 08:51:30 (item: 18350)
2022-08-20 08:53:48 (item: 566)"
1145,"2022-07-11 13:44:02 (item: 6603)
2022-07-11 13:47:17 (item: 2879)"
1147,"2022-08-27 06:18:13 (item: 5125)
2022-08-27 06:24:49 (item: 15843)"
1150,"2022-05-13 09:13:51 (item: 10656)
2022-05-13 09:17:33 (item: 5949)"
1168,"2022-09-03 04:43:10 (item: 14360)
2022-09-03 04:49:05 (item: 4134)"
1205,"2022-08-08 03:55:23 (item: 4667)
2022-08-08 03:58:42 (item: 249)"
1220,"2022-07-20 10:38:11 (item: 13871)
2022-07-20 10:47:18 (item: 12650)"
1246,"2022-08-09 13:42:48 (item: 4380)
2022-08-09 13:45:08 (item: 13735)

2022-08-27 08:21:30 (item: 16106)
2022-08-27 08:29:57 (item: 3668)
2022-08-27 08:39:26 (item: 4343)"
1261,"2022-06-29 11:17:04 (item: 11097)
2022-06-29 11:17:25 (item: 873)"
1271,"2022-07-16 11:17:58 (item: 15499)
2022-07-16 11:22:58 (item: 908)"
1292,"2022-08-15 08:59:57 (item: 17451)
2022-08-15 09:05:15 (item: 16092)"
1309,"2022-07-07 10:41:53 (item: 5509)
2022-07-07 10:45:29 (item: 10663)"
1321,"2022-08-14 03:23:44 (item: 1367)
2022-08-14 03:24:32 (item: 17654)"
1329,"2022-08-15 06:17:25 (item: 6539)
2022-08-15 06:24:32 (item: 3260)"
1338,"2022-08-03 10:42:21 (item: 411)
2022-08-03 10:45:23 (item: 3612)

2022-08-23 07:58:10 (item: 13975)
2022-08-23 08:07:55 (item: 11876)"
1390,"2022-07-09 03:33:20 (item: 4124)
2022-07-09 03:35:15 (item: 2392)"
1391,"2022-07-25 23:30:40 (item: 14406)
2022-07-25 23:34:02 (item: 16802)"
1403,"2022-07-19 04:04:45 (item: 7586)
2022-07-19 04:07:21 (item: 17354)"
1414,"2022-07-12 08:32:57 (item: 4514)
2022-07-12 08:42:33 (item: 18493)"
1421,"2022-09-03 09:20:02 (item: 13727)
2022-09-03 09:22:48 (item: 482)"
1444,"2022-09-10 06:39:48 (item: 4896)
2022-09-10 06:41:34 (item: 11202)"
1464,"2022-08-06 10:31:27 (item: 18815)
2022-08-06 10:34:55 (item: 5589)"
1467,"2022-06-29 13:43:27 (item: 17332)
2022-06-29 13:48:16 (item: 11945)"
1470,"2022-08-30 05:12:49 (item: 7607)
2022-08-30 05:14:27 (item: 13232)"
1506,"2022-07-26 04:19:23 (item: 16518)
2022-07-26 04:23:56 (item: 11768)"
1511,"2022-08-18 10:10:54 (item: 1911)
2022-08-18 10:15:17 (item: 8996)

2022-09-09 16:31:19 (item: 1002)
2022-09-09 16:34:15 (item: 16398)"
1512,"2022-07-26 09:56:18 (item: 6628)
2022-07-26 10:00:14 (item: 16217)

2022-09-08 11:27:45 (item: 990)
2022-09-08 11:29:37 (item: 13263)"
1513,"2022-08-16 01:37:41 (item: 4218)
2022-08-16 01:39:45 (item: 6736)"
1515,"2022-08-15 10:21:57 (item: 13864)
2022-08-15 10:25:22 (item: 8465)"
1534,"2022-08-31 05:34:43 (item: 3345)
2022-08-31 05:39:29 (item: 4365)"
1544,"2022-08-01 03:09:51 (item: 6771)
2022-08-01 03:11:10 (item: 12326)"
1549,"2022-08-23 01:48:05 (item: 13706)
2022-08-23 01:52:05 (item: 10237)
2022-08-23 01:59:55 (item: 7976)
2022-08-23 02:00:02 (item: 9725)
2022-08-23 02:00:57 (item: 11989)"
1556,"2022-08-17 14:32:54 (item: 7304)
2022-08-17 14:41:43 (item: 19165)"
1559,"2022-09-11 15:59:56 (item: 5260)
2022-09-11 16:01:22 (item: 7675)"
1561,"2022-08-11 23:02:00 (item: 17344)
2022-08-11 23:10:25 (item: 10055)"
1573,"2022-08-28 22:32:56 (item: 18246)
2022-08-28 22:33:57 (item: 4134)

2022-08-28 22:44:13 (item: 4851)
2022-08-28 22:45:34 (item: 13387)"
1594,"2022-08-29 12:33:10 (item: 7607)
2022-08-29 12:33:41 (item: 5962)"
1605,"2022-05-08 03:01:18 (item: 14711)
2022-05-08 03:11:13 (item: 12264)"
1610,"2022-09-04 07:01:52 (item: 14988)
2022-09-04 07:05:28 (item: 10591)
2022-09-04 07:10:09 (item: 14747)"
1622,"2022-08-08 04:22:55 (item: 12003)
2022-08-08 04:32:28 (item: 7155)"
1625,"2022-08-01 23:44:50 (item: 1580)
2022-08-01 23:46:26 (item: 11811)

2022-08-16 17:37:42 (item: 10388)
2022-08-16 17:46:51 (item: 19659)

2022-08-18 17:11:33 (item: 1021)
2022-08-18 17:20:48 (item: 12630)"
1633,"2022-09-02 04:19:10 (item: 11674)
2022-09-02 04:21:20 (item: 12201)"
1647,"2022-08-03 00:53:24 (item: 17474)
2022-08-03 00:55:32 (item: 9049)"
1656,"2022-08-27 02:03:23 (item: 11504)
2022-08-27 02:05:28 (item: 18321)"
1669,"2022-08-31 05:56:13 (item: 8636)
2022-08-31 06:00:30 (item: 9227)"
1673,"2022-09-04 12:49:03 (item: 17493)
2022-09-04 12:55:42 (item: 10939)

2022-09-10 10:41:23 (item: 14019)
2022-09-10 10:44:28 (item: 14513)"
1675,"2022-03-22 07:51:28 (item: 18120)
2022-03-22 07:53:09 (item: 17596)

2022-07-26 21:42:13 (item: 11010)
2022-07-26 21:51:18 (item: 6432)"
1687,"2022-08-17 04:54:41 (item: 4196)
2022-08-17 05:02:06 (item: 16082)"
1704,"2022-08-07 13:21:20 (item: 12369)
2022-08-07 13:21:56 (item: 14936)"
1730,"2022-06-06 05:16:03 (item: 2033)
2022-06-06 05:22:02 (item: 15335)"
1736,"2022-08-10 14:30:44 (item: 18343)
2022-08-10 14:33:06 (item: 4978)
2022-08-10 14:35:57 (item: 5756)
2022-08-10 14:36:17 (item: 17466)"
1746,"2022-09-04 09:38:38 (item: 2167)
2022-09-04 09:42:33 (item: 5319)"
1762,"2022-08-31 02:24:37 (item: 1479)
2022-08-31 02:27:12 (item: 17163)"
1771,"2022-08-30 05:57:32 (item: 18608)
2022-08-30 06:01:19 (item: 7575)"
1779,"2022-06-08 12:00:19 (item: 17668)
2022-06-08 12:00:38 (item: 18216)"
1792,"2022-08-17 08:56:03 (item: 6217)
2022-08-17 09:03:51 (item: 12637)"
1801,"2022-05-03 04:41:41 (item: 4498)
2022-05-03 04:50:17 (item: 11716)"
1804,"2022-07-31 13:14:32 (item: 18843)
2022-07-31 13:22:31 (item: 5855)"
1807,"2022-08-06 02:18:17 (item: 2434)
2022-08-06 02:21:37 (item: 6253)"
1814,"2022-08-30 10:32:28 (item: 12314)
2022-08-30 10:41:51 (item: 14012)"
1828,"2022-09-10 07:28:33 (item: 18108)
2022-09-10 07:35:49 (item: 13387)"
1836,"2022-08-29 16:43:50 (item: 5214)
2022-08-29 16:50:13 (item: 5244)"
1844,"2022-04-03 09:20:01 (item: 9260)
2022-04-03 09:28:43 (item: 17336)"
1850,"2022-09-04 02:56:35 (item: 3775)
2022-09-04 03:00:39 (item: 690)"
1853,"2022-08-22 14:56:36 (item: 9230)
2022-08-22 15:04:38 (item: 7291)"
1854,"2022-07-18 16:32:54 (item: 13971)
2022-07-18 16:36:48 (item: 9772)"
1855,"2022-07-06 15:24:52 (item: 12653)
2022-07-06 15:25:21 (item: 17415)"
1856,"2022-08-27 22:37:54 (item: 14739)
2022-08-27 22:38:36 (item: 18325)"
1857,"2022-08-28 08:17:01 (item: 8527)
2022-08-28 08:21:38 (item: 6438)"
1875,"2022-08-18 12:47:29 (item: 12630)
2022-08-18 12:49:05 (item: 57)"
1926,"2022-07-19 05:14:52 (item: 11360)
2022-07-19 05:18:45 (item: 11098)"
1939,"2022-06-30 04:20:04 (item: 10842)
2022-06-30 04:27:15 (item: 7156)"
1963,"2022-08-15 16:36:50 (item: 15532)
2022-08-15 16:37:40 (item: 13596)"
1965,"2022-08-08 15:31:21 (item: 4843)
2022-08-08 15:32:04 (item: 7477)
2022-08-08 15:32:16 (item: 5025)
2022-08-08 15:32:41 (item: 2535)
2022-08-08 15:32:48 (item: 13957)
2022-08-08 15:33:24 (item: 13849)
2022-08-08 15:33:33 (item: 3385)
2022-08-08 15:33:45 (item: 18867)
2022-08-08 15:33:53 (item: 18658)"
1998,"2022-09-02 09:28:11 (item: 2097)
2022-09-02 09:29:24 (item: 733)"
2004,"2022-08-15 12:25:08 (item: 14456)
2022-08-15 12:29:54 (item: 9216)"
2017,"2022-08-27 05:31:04 (item: 10291)
2022-08-27 05:40:51 (item: 9438)"
2030,"2022-07-31 18:01:22 (item: 3972)
2022-07-31 18:10:32 (item: 1639)"
2040,"2022-05-16 16:29:07 (item: 4722)
2022-05-16 16:35:52 (item: 13401)"
2044,"2022-08-24 09:34:41 (item: 11989)
2022-08-24 09:38:18 (item: 19489)"
2048,"2022-09-10 03:54:21 (item: 14729)
2022-09-10 04:00:56 (item: 1879)"
2053,"2022-08-29 02:42:32 (item: 13422)
2022-08-29 02:51:08 (item: 2409)"
2055,"2022-08-04 13:01:26 (item: 5793)
2022-08-04 13:06:46 (item: 2192)"
2079,"2022-07-09 01:20:53 (item: 17140)
2022-07-09 01:26:15 (item: 4569)"
2084,"2022-09-10 14:03:42 (item: 5013)
2022-09-10 14:06:04 (item: 16794)"
2094,"2022-08-13 10:00:05 (item: 4209)
2022-08-13 10:08:28 (item: 19128)"
2096,"2022-08-23 02:56:16 (item: 2156)
2022-08-23 02:58:41 (item: 18751)"
2110,"2022-08-16 15:46:50 (item: 17287)
2022-08-16 15:55:16 (item: 6470)"
2123,"2022-08-24 06:43:42 (item: 10275)
2022-08-24 06:43:53 (item: 15851)"
2130,"2022-07-20 06:12:16 (item: 18885)
2022-07-20 06:15:29 (item: 3308)"
2147,"2022-08-16 05:21:35 (item: 3180)
2022-08-16 05:30:43 (item: 12587)"
2152,"2022-08-03 16:55:59 (item: 8068)
2022-08-03 17:04:23 (item: 16173)"
2157,"2022-09-05 04:32:54 (item: 5739)
2022-09-05 04:37:54 (item: 4896)"
2170,"2022-06-15 13:43:49 (item: 405)
2022-06-15 13:45:03 (item: 3151)"
2178,"2022-08-24 01:11:14 (item: 10660)
2022-08-24 01:13:32 (item: 2866)"
2186,"2022-08-17 19:38:00 (item: 4618)
2022-08-17 19:46:06 (item: 13904)"
2208,"2022-07-30 03:34:13 (item: 15927)
2022-07-30 03:42:06 (item: 4687)"
2219,"2022-08-06 07:44:23 (item: 18346)
2022-08-06 07:54:10 (item: 18001)"
2225,"2022-08-26 01:12:29 (item: 3812)
2022-08-26 01:22:15 (item: 13294)"
2233,"2022-08-18 22:02:29 (item: 5750)
2022-08-18 22:07:31 (item: 17538)

2022-08-26 04:46:34 (item: 16261)
2022-08-26 04:55:43 (item: 13656)"
2238,"2022-05-27 09:18:29 (item: 316)
2022-05-27 09:19:58 (item: 11449)"
2243,"2022-08-13 10:55:21 (item: 14732)
2022-08-13 11:02:29 (item: 4273)"
2246,"2022-05-07 23:05:09 (item: 14670)
2022-05-07 23:09:10 (item: 17243)"
2263,"2022-08-19 17:22:17 (item: 16346)
2022-08-19 17:23:03 (item: 10437)

2022-08-20 16:16:05 (item: 2572)
2022-08-20 16:16:11 (item: 8070)"
2275,"2022-07-17 12:26:44 (item: 7078)
2022-07-17 12:26:48 (item: 13054)"
2276,"2022-08-03 04:50:07 (item: 6834)
2022-08-03 04:53:09 (item: 9208)"
2277,"2022-08-15 08:28:14 (item: 5525)
2022-08-15 08:36:07 (item: 13696)"
2301,"2022-08-16 05:47:07 (item: 17873)
2022-08-16 05:51:12 (item: 14979)"
2350,"2022-06-11 14:17:37 (item: 6977)
2022-06-11 14:19:10 (item: 13551)"
2352,"2022-09-10 11:06:00 (item: 3073)
2022-09-10 11:09:28 (item: 12495)"
2358,"2022-08-08 05:03:14 (item: 14531)
2022-08-08 05:13:00 (item: 1800)
2022-08-08 05:15:34 (item: 7953)"
2393,"2022-08-27 06:16:46 (item: 19165)
2022-08-27 06:19:52 (item: 10310)"
2394,"2022-08-28 11:49:41 (item: 16537)
2022-08-28 11:56:31 (item: 15174)

2022-09-03 07:07:26 (item: 9438)
2022-09-03 07:11:23 (item: 10291)"
2405,"2022-07-21 09:15:52 (item: 17324)
2022-07-21 09:19:16 (item: 6709)"
2422,"2022-09-01 10:27:25 (item: 3582)
2022-09-01 10:37:16 (item: 14928)"
2424,"2022-07-11 08:26:18 (item: 9624)
2022-07-11 08:31:10 (item: 1748)"
2425,"2022-07-26 12:33:34 (item: 9780)
2022-07-26 12:39:08 (item: 12832)"
2427,"2022-08-17 17:37:07 (item: 18533)
2022-08-17 17:42:54 (item: 5353)

2022-08-26 12:23:48 (item: 4920)
2022-08-26 12:25:33 (item: 18248)"
2428,"2022-07-06 02:39:39 (item: 15914)
2022-07-06 02:40:15 (item: 346)"
2429,"2022-07-16 03:37:11 (item: 18980)
2022-07-16 03:40:04 (item: 5135)"
2431,"2022-05-05 00:15:39 (item: 9648)
2022-05-05 00:15:58 (item: 10576)

2022-06-16 00:47:28 (item: 6810)
2022-06-16 00:47:50 (item: 3325)

2022-07-14 04:25:15 (item: 15530)
2022-07-14 04:26:32 (item: 11642)

2022-08-15 06:36:18 (item: 6539)
2022-08-15 06:39:08 (item: 57)

2022-08-20 01:49:19 (item: 12630)
2022-08-20 01:51:02 (item: 9512)

2022-08-25 03:55:12 (item: 13232)
2022-08-25 03:55:52 (item: 7331)

2022-08-31 01:42:07 (item: 680)
2022-08-31 01:42:50 (item: 10167)"
2439,"2022-08-20 13:40:08 (item: 2016)
2022-08-20 13:40:12 (item: 11825)
2022-08-20 13:40:27 (item: 1921)"
2464,"2022-07-27 19:30:23 (item: 11304)
2022-07-27 19:33:01 (item: 971)
2022-07-27 19:38:05 (item: 12174)"
2476,"2022-08-14 16:57:55 (item: 57)
2022-08-14 17:00:51 (item: 13430)

2022-08-26 08:20:29 (item: 11584)
2022-08-26 08:20:58 (item: 16077)

2022-08-31 06:05:58 (item: 680)
2022-08-31 06:10:11 (item: 19475)

2022-09-04 06:24:06 (item: 13568)
2022-09-04 06:26:34 (item: 19382)

2022-09-05 02:14:21 (item: 5962)
2022-09-05 02:18:20 (item: 4404)"
2480,"2022-08-15 18:21:47 (item: 16997)
2022-08-15 18:24:09 (item: 9962)"
2483,"2022-09-10 01:03:43 (item: 11174)
2022-09-10 01:05:04 (item: 5100)"
2492,"2022-08-25 08:18:16 (item: 2451)
2022-08-25 08:18:38 (item: 19572)"
2499,"2022-03-25 15:23:26 (item: 7447)
2022-03-25 15:25:04 (item: 18437)"
2501,"2022-07-18 10:25:55 (item: 3329)
2022-07-18 10:30:39 (item: 8784)"
2507,"2022-08-06 02:44:03 (item: 271)
2022-08-06 02:50:27 (item: 9500)

2022-08-09 07:52:29 (item: 9152)
2022-08-09 07:56:55 (item: 14999)
2022-08-09 08:00:11 (item: 6588)"
2520,"2022-07-17 01:34:46 (item: 7949)
2022-07-17 01:37:27 (item: 10147)"
2523,"2022-08-31 16:02:40 (item: 10684)
2022-08-31 16:03:27 (item: 7114)"
2527,"2022-09-03 06:55:56 (item: 12529)
2022-09-03 06:59:07 (item: 5006)"
2538,"2022-07-28 06:58:56 (item: 4000)
2022-07-28 07:06:50 (item: 8972)"
2551,"2022-09-04 03:27:56 (item: 226)
2022-09-04 03:31:08 (item: 10583)

2022-09-05 03:00:25 (item: 19415)
2022-09-05 03:08:35 (item: 3947)"
2553,"2022-08-13 13:36:17 (item: 202)
2022-08-13 13:38:12 (item: 14789)"
2557,"2022-09-01 10:22:25 (item: 13232)
2022-09-01 10:28:53 (item: 1846)"
2567,"2022-08-17 14:57:21 (item: 13358)
2022-08-17 15:01:23 (item: 6572)"
2574,"2022-04-29 10:09:03 (item: 3297)
2022-04-29 10:12:38 (item: 15033)"
2589,"2022-08-13 07:26:39 (item: 8404)
2022-08-13 07:28:19 (item: 17132)"
2600,"2022-07-18 15:05:35 (item: 11304)
2022-07-18 15:14:45 (item: 18821)

2022-07-18 15:25:43 (item: 12174)
2022-07-18 15:28:15 (item: 2871)"
2630,"2022-04-16 09:16:22 (item: 15664)
2022-04-16 09:19:48 (item: 15753)"
2657,"2022-07-05 16:02:21 (item: 14924)
2022-07-05 16:04:59 (item: 10320)"
2668,"2022-09-11 01:20:04 (item: 9384)
2022-09-11 01:28:44 (item: 9672)"
2670,"2022-09-05 13:23:14 (item: 4489)
2022-09-05 13:28:11 (item: 12026)"
2676,"2022-07-05 13:09:27 (item: 5025)
2022-07-05 13:18:30 (item: 7477)"
2694,"2022-09-06 13:45:54 (item: 1071)
2022-09-06 13:50:45 (item: 10314)"
2702,"2022-07-08 04:57:07 (item: 1192)
2022-07-08 05:05:23 (item: 16009)"
2710,"2022-08-10 03:21:41 (item: 17717)
2022-08-10 03:22:25 (item: 8603)
2022-08-10 03:22:48 (item: 4043)
2022-08-10 03:23:05 (item: 11596)
2022-08-10 03:23:35 (item: 5981)
2022-08-10 03:24:07 (item: 13907)
2022-08-10 03:24:16 (item: 11021)
2022-08-10 03:25:44 (item: 18383)"
